,0
0,0.006818109699833936
1,0.009998096884418075
2,0.014433938347815494
3,0.020514762795251093
4,0.02870531402594138
5,0.03954324026106666
6,0.05362858688578743
7,0.07160355784640489
8,0.09412110116010126
9,0.12180175491295143
10,0.15517946150437747
11,0.1946386501468985
12,0.24034665170370892
13,0.2921872206225148
14,0.3497023147611276
15,0.41205002559445264
16,0.4779863919318106
17,0.5458775937413701
18,0.6137466760713134
19,0.6793556417901065
20,0.7403198061587981
21,0.7942472123261359
22,0.8388922431235747
23,0.8723099110287096
24,0.8929961444342192
25,0.9
26,0.8929961444342192
27,0.8723099110287097
28,0.8388922431235748
29,0.7942472123261359
30,0.7403198061587983
31,0.6793556417901068
32,0.6137466760713134
33,0.5458775937413701
34,0.4779863919318106
35,0.41205002559445264
36,0.3497023147611275
37,0.29218722062251495
38,0.2403466517037091
39,0.1946386501468986
40,0.15517946150437753
41,0.12180175491295142
42,0.0941211011601011
43,0.07160355784640263
44,0.05362858688575969
45,0.0395432402607552
46,0.028705314022773074
47,0.02051476276593733
48,0.014433938101100005
49,0.00999809499553907
50,0.0068180965447019294
51,0.004577378964813363
52,0.00302503752272138
53,0.0019662239318063626
54,0.0012492148570248205
55,0.0007433480839549849
56,0.00028831683282136867
57,-0.00043610141453910117
58,-0.0022283465155817817
59,-0.007051574991143759
60,-0.019283188682434005
61,-0.047519215475599834
62,-0.10631790221494924
63,-0.21629184596040088
64,-0.4002296318583026
65,-0.6736565487613566
66,-1.0313599916219138
67,-1.435968006402471
68,-1.817142058828424
69,-2.0862576156202657
70,-2.1613927729398243
71,-1.9874000103160168
72,-1.5355776274896695
73,-0.7819296838422206
74,0.3146452781080266
75,1.8004789517667215
76,3.663325108240043
77,5.742663902892382
78,7.6847313360759095
79,9.011796895845785
80,9.306956870596565
81,8.420887145139039
82,6.568159073774138
83,4.24407398008894
84,2.012632947334584
85,0.29347011874912465
86,-0.7449434211024257
87,-1.1632115483750733
88,-1.1511498860556315
89,-0.9204576153543085
90,-0.6350366490201123
91,-0.3882018434917197
92,-0.21294642256565774
93,-0.10549700532213965
94,-0.04736105948871512
95,-0.01929716437906404
96,-0.007135105056500613
97,-0.002382762804002721
98,-0.0006987834555393973
99,-0.00014770602546949416
100,3.297374902401343e-05
101,0.00011219403091782578
102,0.00017756901483820885
103,0.0002588295617183191
104,0.00037071659612960753
105,0.0005265425422166164
106,0.0007425606643493057
107,0.001039933899782307
108,0.0014463143332205746
109,0.0019975774405943517
110,0.002739861551187146
111,0.0037319659839395716
112,0.005048133149545496
113,0.006781222466366784
114,0.009046263820142923
115,0.011984352432365725
116,0.015766814616139414
117,0.020599534976498392
118,0.026727290733728596
119,0.034437889268551215
120,0.044065852740884655
121,0.055995341601321955
122,0.07066196073919824
123,0.08855305243210616
124,0.11020605435582145
125,0.136204494232563
126,0.1671712107949309
127,0.20375843871124455
128,0.24663447702650593
129,0.2964667789808699
130,0.35390145603002987
131,0.41953937803349983
132,0.4939092692915682
133,0.5774384374628736
134,0.6704220171726515
135,0.7729918472096193
136,0.8850863122787905
137,1.0064226488108858
138,1.1364733209283908
139,1.2744481005722832
140,1.4192834214920065
141,1.5696404116091143
142,1.7239127396969496
143,1.8802450451091663
144,2.036562265912735
145,2.1906096613589194
146,2.340002766165922
147,2.482285949042104
148,2.6149977120991266
149,2.7357403980122452
150,2.8422516027692892
151,2.932474353610973
152,3.0046230268766667
153,3.0572420619061402
154,3.0892547768081444
155,3.1
156,3.0892547768081444
157,3.0572420619061402
158,3.0046230268766667
159,2.932474353610973
160,2.8422516027692892
161,2.7357403980122452
162,2.6149977120991266
163,2.482285949042104
164,2.340002766165922
165,2.1906096613589194
166,2.0365622659127305
167,1.880245045109162
168,1.7239127396969451
169,1.56964041160911
170,1.4192834214920025
171,1.274448100572279
172,1.1364733209283868
173,1.006422648810882
174,0.8850863122787874
175,0.7729918472096164
176,0.6704220171726515
177,0.5774384374628736
178,0.4939092692915682
179,0.41953937803349983
180,0.35390145603002987
181,0.2964667789808699
182,0.24663447702650593
183,0.20375843871124455
184,0.1671712107949309
185,0.136204494232563
186,0.11020605435582145
187,0.08855305243210616
188,0.07066196073919824
189,0.055995341601321955
190,0.044065852740884655
191,0.034437889268551125
192,0.026727290733728502
193,0.02059953497649832
194,0.01576681461613934
195,0.011984352432365671
196,0.009046263820142895
197,0.006781222466366927
198,0.00504813314954774
199,0.0037319659839674165
200,0.002739861551498645
201,0.0019975774437626785
202,0.0014463143625343651
203,0.0010399341464977837
204,0.0007425625532278601
205,0.0005265556973403917
206,0.0003707999391012367
207,0.0002593098764123377
208,0.00018008706839353874
209,0.00012420242191964358
210,8.506710769420252e-05
211,5.7859854263311615e-05
212,3.908202607959175e-05
213,2.6215664584600953e-05
214,1.746339762238815e-05
215,1.155262538261818e-05
216,7.589562619851829e-06
217,4.951502907674836e-06
218,3.208056578118448e-06
219,2.0641126632693787e-06
220,1.3189170341057651e-06
221,8.369842760824391e-07
222,5.276140713093009e-07
223,3.3060875649157314e-07
224,2.064302641325683e-07
225,1.295322599746931e-07
226,8.399549442306042e-08
227,6.091991897885049e-08
228,5.7328698746829743e-08
229,7.66695196724167e-08
230,1.3142878573473408e-07
231,2.490063454393273e-07
232,4.829808149395154e-07
233,9.334431816867503e-07
234,1.7824921556324396e-06
235,3.354680280616069e-06
236,6.217707179032864e-06
237,1.1346619457070462e-05
238,2.03859056034874e-05
239,3.605883863543662e-05
240,6.279265894942799e-05
241,0.00010765161702199966
242,0.00018169648099610635
243,0.0003019163716235295
244,0.0004939022136105692
245,0.0007954436781331454
246,0.001261223478005845
247,0.001968742006899076
248,0.003025517839420195
249,0.004577462308058319
250,0.006818109699910156
251,0.009998096884457361
252,0.014433938347835618
253,0.020514762795261373
254,0.028705314025946626
255,0.03954324026106938
256,0.05362858688578893
257,0.07160355784640578
258,0.09412110116010196
259,0.12180175491295199
260,0.1551794615043781
261,0.19463865014689927
262,0.2403466517037098
263,0.2921872206225157
264,0.3497023147611288
265,0.41205002559445403
266,0.477986391931812
267,0.5458775937413715
268,0.6137466760713147
269,0.679355641790108
270,0.7403198061587994
271,0.7942472123261372
272,0.8388922431235758
273,0.8723099110287105
274,0.8929961444342196
275,0.9
276,0.8929961444342192
277,0.8723099110287096
278,0.8388922431235747
279,0.7942472123261357
280,0.7403198061587979
281,0.6793556417901063
282,0.613746676071313
283,0.5458775937413696
284,0.4779863919318102
285,0.41205002559445225
286,0.34970231476112706
287,0.2921872206225142
288,0.24034665170370842
289,0.19463865014690038
290,0.15517946150437903
291,0.12180175491295264
292,0.09412110116010214
293,0.07160355784640345
294,0.053628586885760235
295,0.039543240260755626
296,0.028705314022773404
297,0.020514762765937566
298,0.014433938101100184
299,0.009998094995539195
300,0.0068180965447020205
301,0.004577378964813429
302,0.0030250375227214256
303,0.001966223931806387
